Date,Tweet
2017-03-20 15:06:00,$PEP:US Aspiriant LLC Boosts Stake in PepsiCo Inc. (PEP) PEPSICO INC   SP500
2017-03-20 14:36:00,Wasn't that's move expected by our members ? :-) everything was so clear ... dax dax30 ger30 sp500 spx spy es_f enjoy the ride folks
2017-03-20 14:35:00,SP500 precious piece of information... 
2017-03-20 14:34:00,US Briefing 20-Mar-17: Article 50 To Be Triggered On 29 March (See more  
2017-03-20 14:30:00,Mon 3/20/17 10:30 AM ETDow $20947 +32SP500 $2379 +1Oil $48.27Gold $1232Silver $17.37BTC $1043ETH $44.30Please Retweet
2017-03-20 14:19:00,SP500 short are 2375 80
2017-03-20 14:16:00,daves_folly how low will the SP500 drop?
2017-03-20 14:02:00,See how sectors score on Y/Y growth rates on sp500 16Q4 earnings dashboard  
2017-03-20 14:01:00,US stocks in search of a firm direction By HareshMenghani  Equities DowJones SP500
2017-03-20 14:00:00,Only 32% of media boards report a mandatory retirement age vs. 73% of SP500 boards 
2017-03-20 14:00:00,SP500 SKEW Index Nervous as VIX is Complacent?SKEW / VIX daily ratio Highest since July 2014 Trading SP500 vixÖ 
2017-03-20 13:48:00,RT WrigleyTom: $AMDnice action so far on the SP500 addsee if can support 10sma ~13.68
2017-03-20 13:46:00,$AMDnice action so far on the SP500 addsee if can support 10sma ~13.68
2017-03-20 13:43:00,S&amp;P500: Wait-and-see mode but looking bearish By CharmerCharts  Equities Positioning
2017-03-20 13:35:00,Just on the open in New York trading. Stock futures all open Flat. SP500GBPUSD coming off session lowsÖ 
2017-03-20 13:31:00,RT stebottaioli: emergingmarkets commodities sp500 accumulate emerging markets and Bonds in local currency 
2017-03-20 13:00:00,SP500|AIG says CEO Hancock will be eligible to receive cash payment for service through transition period 
2017-03-20 12:58:00,RT TRADINGCENTRAL: Index SP500 US $SP500 S&amp;P 500 Short positions below 2390.00 with targets at 2375.00 &amp; 2366.00 in extension. 
2017-03-20 12:55:00,emergingmarkets commodities sp500 accumulate emerging markets and Bonds in local currency 
2017-03-20 12:37:00,RT MrTopStep: S&amp;P 500 Futures: No 1% Declines In 108 Trading Days S&amp;P500 ESM -  
2017-03-20 12:36:00,S&amp;P 500 Futures: No 1% Declines In 108 Trading Days S&amp;P500 ESM -  
