text,date
$COST:US  Costco Sues Titleist In Battle Over Golf Balls #COSTCO WHOLESALE CORP  https://t.co/FKcSP4KNV4 #SP500,21/03/2017 11:15
"$RHT:US IBM, Red Hat collaborates to accelerate Cloud adoption #RED HAT INC  https://t.co/ktbUe01hp0 #SP500",21/03/2017 11:14
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 11:12
"Trend Update: $VTI, #SP400, #NASDAQ, #DJIA #DOW, #SP500, #RUSSELL2000,  continue to be Bullish, short term. https://t.co/qCn5v0xIz2",21/03/2017 11:10
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 10:47
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 10:43
"$SPX #SP500 SP500 future, the 30 DJIA components and 19 sectors DAILY REVIEW https://t.co/wiMfW585Sr #trading https://t.co/oFclwTV3xQ",21/03/2017 10:40
"No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 10:35
RT @cryptonext: Long or Short the NASDAQ using Bitcoin. Max leverage 20. #SP500 | https://t.co/sFTAk2jtgC https://t.co/h7qlSOA6tU,21/03/2017 10:32
"Daily Review #SP500 $SPX #DJIA #Trend #analysis
#future #equity #sector #dowjones
https://t.co/oD0sMU3qhX https://t.co/Ir6iMdQT25",21/03/2017 10:25
Are you Bullish or Bearish on the S&amp;P 500? Start #Trading with #Bitcoin. 20:1 Leverage. #Stocks $SPY $ES $ES_F… https://t.co/X961wKuhqo,21/03/2017 10:07
Weekly S&amp;P500 #Stocks Trend $STX $URI $WYNN $PHM $RCL $MU $GLW $SHW $VRTX $FLR $DOW $DD $NSC $KLAC $ADI $FDX  @ https://t.co/RPeaHBZz9y,21/03/2017 10:02
Weekly S&amp;P500 #Stocks Performance $STX $URI $WYNN $PHM $RCL $WDC $DHI $MU $CSX $AVGO $GLW $SHW $NVDA $VRTX more@ https://t.co/RPeaHBZz9y,21/03/2017 10:02
"RT @penelopelmf: Valudaily: Technicals to watch for #DAX30 and #SP500: https://t.co/bUjZ40AJFI
#Valutrades #broker #forex #trading #mt4 htt…",21/03/2017 09:45
"RT @Valutrades: Valudaily: Technicals to watch for #DAX30 and #SP500: https://t.co/lwlM56aOWD
#Valutrades #broker #forex #trading #mt4 http…",21/03/2017 09:45
Long or Short the NASDAQ using Bitcoin. Max leverage 20. #SP500 | https://t.co/sFTAk2jtgC https://t.co/h7qlSOA6tU,21/03/2017 09:43
"Despite Financial Engineering&amp;Clever Reporting Schemes, S&amp;P 500Earnings per Share Stuck for 3+ Yrs, but Stocks Soar  https://t.co/cL2QL66qj4",21/03/2017 09:40
"Despite Financial Engineering &amp; Clever Reporting Schemes, S&amp;P 500 Earnings  Stuck for 3+ Years, but Stocks Soar.    https://t.co/A2myii7kqL",21/03/2017 09:36
"Valudaily: Technicals to watch for #DAX30 and #SP500: https://t.co/bUjZ40AJFI
#Valutrades #broker #forex #trading… https://t.co/zZJJSYT2iq",21/03/2017 09:32
"Valudaily: Technicals to watch for #DAX30 and #SP500: https://t.co/lwlM56aOWD
#Valutrades #broker #forex #trading… https://t.co/MYKAlONOIF",21/03/2017 09:32
"@DA_Stockman Shouldn't the title be: Net Hoovering of Equities?   GAAP EPS are flat back to 2012 for SP500, so it didn't totally suck!!",21/03/2017 09:10
#SP500 still in uptrend; Support at 2365 then 2354,21/03/2017 09:08
"Market Update https://t.co/0hUlh0WCOy

#Macron, #Weidmann, #Evans, #Brexit, #FBI, #BNP, #Porsche, #Nike, #SP500,… https://t.co/kJ7rlWeCHP",21/03/2017 08:44
"Based on the latest 21-year period, 21st of March is regarded as a very Bearish day. Maybe the -1% decline-day is coming today?  #SP500",21/03/2017 08:39
#SP500 Technical Profile Status for 21MAR2017 GMT0800 #stocks $ES_F https://t.co/H8LGeYfmXj,21/03/2017 08:02
SP500 short area 23750 80 go,21/03/2017 07:56
"RT @wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting, S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  https://t.co/z…",21/03/2017 07:54
RT @BO360com: How to get started with #BO360! https://t.co/qXzTJa8Ebo #binaryoptions #trading #FMQs #fed #draghi #yellen #SP500 #OPEC https…,21/03/2017 07:54
RT @NSFX_Trading: #Invest in #indices with #NSFX! https://t.co/M9SiSYyx9w #forex #trading #dowjones #OPEC #oil #crudeoil #WTI #ICE #SP500 #…,21/03/2017 07:51
RT @NSFX_Trading: #Invest in #indices with #NSFX! https://t.co/M9SiSYyx9w #forex #trading #dowjones #OPEC #oil #crudeoil #WTI #ICE #SP500 #…,21/03/2017 07:50
