2017-04-13 12:32:52,"RT @BillWinterberg: @TimMaurer @WSJ Only 7% of Large-Cap funds outperformed the S&amp;P500 over 15 years.... 
SO YOU'RE TELLING ME THERE'S A CH…"
2017-04-13 12:24:45,"RT @profhamel: America's ""unicorns"" (Uber, Airbnb, etc.) are worth &lt; 2% of S&amp;P500. Here's why that's a problem: https://t.co/MqohQK5I9z"
2017-04-13 12:10:38,Get Set For Trump Revisions To Your Affordable Care Act Insurance - NPR https://t.co/6bP2D4NZZ8 https://t.co/8A7O0IJ7TD
2017-04-13 12:00:35,Lawmaker behind Swiss pay veto calls for Credit Suisse bonus cut https://t.co/0eMePzAHPe Business News https://t.co/Tjv5zy09oH
2017-04-13 11:42:14,Futures down on Trump's dollar remark; bank earnings eyed https://t.co/El0ilO0NJU Business News https://t.co/RKqd6F1tAy
2017-04-13 11:13:34,RT @TweetsMillenia: S&amp;P500 2270 target ON.... #VIX in play $SPY https://t.co/jTdsxLXeCk
2017-04-13 11:06:46,IEA says global oil market nears balance even as stocks rise - Reuters https://t.co/v2iT5DbwEk https://t.co/S8knUdcJEd
2017-04-13 11:00:19,Boardroom excess? British companies stick with bonus plans despite criticism https://t.co/EzFR7wwV6a Business News https://t.co/pPM3eNnLuw
2017-04-13 10:55:17,RT @TweetsMillenia: S&amp;P500 2270 target ON.... #VIX in play $SPY https://t.co/jTdsxLXeCk
2017-04-13 10:54:02,"RT @TweetsMillenia: Extreme old Divergence.... near the ides of March #VIX $VXX vs $SPX $SPY
Stick with our call to 2270 for the S&amp;P500 htt…"
2017-04-13 10:45:12,"RT @TweetsMillenia: Extreme old Divergence.... near the ides of March #VIX $VXX vs $SPX $SPY
Stick with our call to 2270 for the S&amp;P500 htt…"
2017-04-13 10:36:04,RT @TweetsMillenia: S&amp;P500 2270 target ON.... #VIX in play $SPY https://t.co/jTdsxLXeCk
2017-04-13 10:11:15,Japan's Nomura targets younger generation as demographic crunch looms https://t.co/2IKKIhktet Business News https://t.co/OyJJfwNBYb
2017-04-13 10:03:47,"RT @tracyalloway: While y'all were watching the VIX tick up, the Credit Suisse Fear Barometer (measures S&amp;P500 skew) surged to a record thi…"
2017-04-13 10:02:57,"RT @tracyalloway: While y'all were watching the VIX tick up, the Credit Suisse Fear Barometer (measures S&amp;P500 skew) surged to a record thi…"
2017-04-13 09:56:18,RT @globalbrokers: Bank of America Previews Q1 S&amp;P500 Earnings@offshore stockbroker https://t.co/3sxwvSZDkF
2017-04-13 09:37:41,"$BBRY - Macquarie upgrade to $10.50, mkt cap could soon be pushing addition to S&amp;P500"
